Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,FullName
Female,30,Some Travel,Sales,Far,Illinois,White,Master's,Marketing,Sales Executive,Divorced,102059,1,No,1/3/2012,No,10,4,9,7,Leonelle Simco
Male,38,Some Travel,Sales,Far,California,White,Bachelor's,Marketing,Sales Executive,Single,157718,0,Yes,1/4/2012,No,10,6,10,0,Leonerd Aland
Male,43,Some Travel,Human Resources,Far,California,Asian or Asian American,Bachelor's,Marketing ,HR Business Partner,Married,309964,1,No,1/4/2012,No,10,6,10,8,Ahmed Sykes
Non-Binary,39,Some Travel,Technology,Close,Illinois,White,Some College,Computer Science,Engineering Manager,Married,293132,0,No,1/5/2012,No,10,10,10,0,Ermentrude Berrie
Female,39,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Engineering Manager,Single,539998,0,Yes,11/22/2020,Yes,1,0,0,0,Randi Oswick
Male,34,Some Travel,Sales,Very Far,New York,Mixed or multiple ethnic groups,High School,Marketing,Sales Executive,Divorced,133468,1,No,1/5/2012,No,10,3,7,9,Clerkclaude Hinkins
Female,42,No Travel ,Technology,Very Far,New York,Black or African American,Some College,Information Systems,Engineering Manager,Married,259284,1,No,1/9/2012,No,10,2,6,6,Uta Melmar
Female,40,Some Travel,Sales,Very Close,California,Native Hawaiian ,High School,Other,Sales Executive,Divorced,104426,1,No,1/11/2012,No,10,3,4,6,Joyan Brason
Male,38,Some Travel,Sales,Far,Illinois,Black or African American,Bachelor's,Marketing ,Sales Executive,Married,147098,1,No,1/11/2012,No,10,5,8,2,Alix Blazejewski
Male,31,Some Travel,Technology,Very Far,California,White,Some College,Information Systems,Analytics Manager,Married,531629,1,Yes,1/6/2020,Yes,1,0,1,1,Lock Pierson
Female,32,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Data Scientist,Single,102022,0,No,1/12/2012,No,10,4,5,8,Hannis Waslin
Female,35,Some Travel,Technology,Close,New York,Other ,Bachelor's,Information Systems,Machine Learning Engineer,Single,272175,0,No,1/12/2012,No,10,7,8,2,Annabela Pablos
Male,38,Some Travel,Sales,Very Far,New York,Asian or Asian American,Some College,Marketing ,Manager,Single,340229,0,Yes,1/13/2012,No,10,7,9,3,Torey Abram
Non-Binary,37,Some Travel,Technology,Very Close,Illinois,White,Some College,Computer Science,Software Engineer,Divorced,48395,1,No,1/15/2012,No,10,2,2,4,Edna Alison
Male,33,Some Travel,Technology,Very Close,New York,Mixed or multiple ethnic groups,Bachelor's,Other,Senior Software Engineer,Single,97126,0,No,1/15/2012,No,10,8,10,2,Vernen Powner
Female,42,Some Travel,Technology,Far,Illinois,Black or African American,Some College,Information Systems,Engineering Manager,Married,316208,1,No,1/17/2012,No,10,8,8,7,Willetta Lurriman
Male,43,Some Travel,Sales,Far,California,Mixed or multiple ethnic groups,Some College,Marketing,Sales Executive,Single,128885,0,Yes,1/17/2012,No,10,1,10,2,Wendall Dryden
Male,43,No Travel ,Sales,Very Far,New York,White,Bachelor's,Marketing ,Sales Executive,Married,108315,2,No,1/17/2012,No,10,9,10,10,Cale Holston
Female,45,Frequent Traveller,Technology,Far,New York,Asian or Asian American,Below High School,Computer Science,Software Engineer,Married,136521,1,No,1/18/2012,No,10,3,6,1,Ernaline Napolione
Female,38,Some Travel,Sales,Very Close,California,White,Below High School,Economics,Sales Executive,Single,151141,0,No,1/19/2012,No,10,3,6,9,Charlena Severwright
Male,29,Some Travel,Sales,Very Far,California,White,Some College,Marketing,Manager,Single,377203,0,Yes,7/16/2013,Yes,5,4,4,0,Louie Trowsdall
Male,33,Some Travel,Human Resources,Very Close,California,Mixed or multiple ethnic groups,Below High School,Technical Degree,Recruiter,Divorced,53616,1,Yes,1/19/2012,No,10,2,3,7,Curcio Franek
Male,36,No Travel ,Technology,Very Far,Illinois,White,High School,Information Systems,Software Engineer,Divorced,61298,1,Yes,1/19/2012,No,10,3,9,3,Burnaby Guillet
Female,45,Some Travel,Human Resources,Very Far,New York,Black or African American,High School,Human Resources,Recruiter,Divorced,54132,1,Yes,1/20/2012,No,10,10,10,10,Elvira Ianelli
Male,30,Some Travel,Technology,Very Far,California,American Indian or Alaska Native,Bachelor's,Information Systems,Engineering Manager,Married,328415,0,No,1/20/2012,No,10,1,10,1,Baxie Rising
Non-Binary,48,Some Travel,Technology,Very Far,California,White,Some College,Computer Science,Machine Learning Engineer,Single,145337,0,No,1/21/2012,No,10,10,10,0,Gifford Poynser
Male,33,Some Travel,Sales,Very Far,California,Asian or Asian American,High School,Marketing,Sales Executive,Married,71201,2,No,1/24/2012,No,10,8,10,4,Rickey Shere
Female,31,No Travel ,Human Resources,Far,New York,American Indian or Alaska Native,High School,Marketing ,Recruiter,Divorced,55682,1,No,1/25/2012,No,10,0,2,0,Collen Sedman
Male,40,Some Travel,Sales,Very Far,New York,White,High School,Marketing,Sales Representative,Married,63455,1,Yes,1/26/2012,No,10,4,8,7,Bertram Doleman
Female,47,Frequent Traveller,Sales,Far,California,White,Some College,Economics,Sales Executive,Single,65626,0,No,1/27/2012,No,10,2,5,1,Bessie Bellson
Female,43,Frequent Traveller,Sales,Close,California,American Indian or Alaska Native,Some College,Marketing ,Sales Executive,Single,350525,0,Yes,5/27/2012,Yes,9,3,9,6,Eulalie Critch
Female,32,Some Travel,Technology,Far,Illinois,White,High School,Other,Data Scientist,Married,75821,1,No,1/30/2012,No,10,1,5,1,Claresta Impy
Male,44,Some Travel,Sales,Very Far,New York,White,High School,Economics,Manager,Divorced,285620,1,No,1/30/2012,No,10,6,8,4,Rossie Everleigh
Female,48,Some Travel,Technology,Far,California,Black or African American,Some College,Information Systems,Software Engineer,Single,65860,0,No,2/1/2012,No,10,6,7,1,Elora Bentjens
Male,47,Some Travel,Technology,Very Far,New York,American Indian or Alaska Native,Below High School,Computer Science,Data Scientist,Married,40786,0,No,2/1/2012,No,10,3,5,5,Koenraad Nannizzi
Male,34,Frequent Traveller,Sales,Very Far,New York,White,Some College,Marketing ,Sales Executive,Married,341971,0,No,9/2/2020,Yes,1,0,0,0,Zechariah Sturridge
Female,32,No Travel ,Technology,Close,New York,Black or African American,Some College,Computer Science,Engineering Manager,Married,316725,1,No,2/2/2012,No,10,6,10,2,Gayle Riseley
Female,28,Some Travel,Technology,Close,Illinois,White,High School,Business Studies,Software Engineer,Divorced,105984,2,Yes,2/4/2012,No,10,7,9,10,Staci Leith
Male,32,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Other,Analytics Manager,Married,393294,1,No,2/4/2012,No,10,2,2,2,Pasquale Abreheart
Female,41,Frequent Traveller,Technology,Close,California,Black or African American,Below High School,Business Studies,Machine Learning Engineer,Single,107008,0,No,2/5/2012,No,10,9,10,9,Alaine Hinrichsen
Female,34,Some Travel,Technology,Close,California,White,Below High School,Information Systems,Data Scientist,Single,127432,0,Yes,2/6/2012,No,10,8,9,9,Dyana Gallie
Male,45,Some Travel,Sales,Far,California,White,High School,Marketing ,Sales Executive,Married,76693,1,No,2/6/2012,No,10,2,9,10,Lindy Rawstorne
Female,39,Some Travel,Technology,Very Far,California,White,Some College,Information Systems,Software Engineer,Single,90017,0,Yes,2/7/2012,No,10,7,7,3,Joannes McFadden
Male,44,Some Travel,Sales,Far,California,White,Some College,Marketing,Manager,Married,426142,0,No,2/7/2012,No,10,4,5,4,Grace Gohier
Female,47,Some Travel,Technology,Far,New York,White,High School,Computer Science,Software Engineer,Married,46514,2,No,2/12/2012,No,10,9,9,2,Jaclin Chadburn
Male,48,No Travel ,Sales,Close,California,White,Master's,Economics,Sales Executive,Single,125587,0,No,2/12/2012,No,10,10,10,4,Hagen Worge
Female,47,Some Travel,Human Resources,Far,New York,Mixed or multiple ethnic groups,Some College,Marketing ,HR Executive,Single,98608,0,No,2/14/2012,No,10,5,10,4,Lacy Domerc
Female,48,Some Travel,Technology,Very Far,New York,Black or African American,Some College,Information Systems,Software Engineer,Married,72794,1,No,2/14/2012,No,10,4,5,3,Jaquelin Kite
Non-Binary,40,Some Travel,Technology,Very Far,California,White,High School,Computer Science,Software Engineer,Single,69119,0,No,2/15/2012,No,10,8,10,5,Yvor Walaron
Male,41,No Travel ,Sales,Very Far,California,White,Some College,Marketing ,Sales Executive,Single,326896,0,Yes,2/3/2020,Yes,2,1,1,1,Wayland McGlade
Male,28,No Travel ,Technology,Very Far,New York,White,High School,Computer Science,Senior Software Engineer,Married,218406,1,No,2/17/2012,No,10,10,10,10,Forbes Toretta
Female,40,Frequent Traveller,Technology,Far,New York,Black or African American,Bachelor's,Computer Science,Software Engineer,Divorced,42333,1,No,2/19/2012,No,10,4,5,5,Paulina Senecaut
Male,39,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,High School,Technical Degree,Manager,Married,300299,1,Yes,2/19/2012,No,10,7,7,10,Sheffie Tonkin
Male,41,Some Travel,Sales,Very Far,New York,White,Below High School,Marketing,Manager,Married,314961,1,No,5/23/2021,Yes,0,0,0,0,Mikkel Fosdyke
Female,35,Some Travel,Human Resources,Far,California,Mixed or multiple ethnic groups,Below High School,Economics,Recruiter,Married,67264,0,No,2/22/2012,No,10,8,8,2,Patrica Lamyman
Male,29,Frequent Traveller,Technology,Close,Illinois,Asian or Asian American,Some College,Computer Science,Senior Software Engineer,Married,93591,1,No,2/22/2012,No,10,4,10,3,Caryl Loving
Female,37,No Travel ,Technology,Far,New York,Mixed or multiple ethnic groups,Some College,Information Systems,Data Scientist,Divorced,82099,2,No,2/23/2012,No,10,1,7,6,Carlyn Pavese
Female,38,Some Travel,Technology,Very Far,Illinois,White,Bachelor's,Information Systems,Data Scientist,Married,83590,1,No,2/23/2012,No,10,2,3,9,Amye Townes
Female,38,Some Travel,Technology,Close,Illinois,White,Some College,Business Studies,Engineering Manager,Married,303360,0,No,10/16/2021,Yes,0,0,0,0,Lita Bicker
Male,40,Some Travel,Technology,Close,New York,Black or African American,Below High School,Computer Science,Software Engineer,Single,58551,0,No,2/27/2012,No,10,6,7,3,Gunther Keays
Female,44,Some Travel,Technology,Far,California,Black or African American,Some College,Information Systems,Software Engineer,Married,53325,1,Yes,2/28/2012,No,10,4,8,4,Reggie Matthewman
